dataset,zs,oracle,best oracle,accum,best accum,best oracle - zs
nz_nz_EFH_HCAMB09,0.79,0.87,0.85,0.75,0.78,0.06
nz_nz_EFH_HCAME10,0.83,0.93,0.89,0.74,0.81,0.06
nz_nz_EFH_HCAMF07,0.90,0.95,0.96,,,0.06
nz_nz_EFH_HCAMG14,0.87,0.95,0.93,,,0.06
nz_nz_PS1_CAM7811,0.89,0.92,0.95,,,0.06
nz_nz_PS1_CAM8008,0.88,0.97,0.94,,,0.06
serengeti_serengeti_B06,0.73,0.81,0.79,0.67,,0.06
serengeti_serengeti_D04,0.88,0.91,0.94,,,0.06
serengeti_serengeti_D06,0.79,0.79,0.85,,,0.06
serengeti_serengeti_E13,0.78,0.86,0.84,0.65,0.78,0.06
serengeti_serengeti_F04,0.82,0.88,0.88,0.68,,0.06
serengeti_serengeti_G06,0.77,0.78,0.83,,,0.06
serengeti_serengeti_H04,0.78,0.89,0.84,,,0.06
serengeti_serengeti_H08,0.86,0.91,0.92,,0.87,0.06
serengeti_serengeti_J12,0.79,0.86,0.85,0.70,,0.06
serengeti_serengeti_K12,0.81,0.84,0.87,0.81,,0.06
serengeti_serengeti_L03,0.83,0.91,0.89,0.75,,0.06
serengeti_serengeti_M04,0.75,0.79,0.81,0.54,,0.06
serengeti_serengeti_O07,0.69,0.78,0.75,0.65,,0.06
serengeti_serengeti_P11,0.66,0.75,0.72,0.62,,0.06
serengeti_serengeti_Q04,0.70,0.89,0.76,0.65,0.73,0.06
serengeti_serengeti_R06,0.81,0.85,0.87,0.68,,0.06
serengeti_serengeti_H02,0.83,0.88,0.9,,,0.07
APN_APN_K062,0.84,0.81,0.91,,,0.07
APN_APN_UMH8,0.84,0.91,0.91,,,0.07
KGA_KGA_KHOGB07,0.77,0.79,0.84,0.66,0.83,0.07
MAD_MAD_C04,0.84,0.94,0.91,0.82,,0.07
MAD_MAD_C06,0.88,0.91,0.95,,,0.07
MAD_MAD_D04,0.84,0.88,0.91,0.78,0.82,0.07
na_na_archbold_FL-01,0.89,0.92,0.96,,,0.07
na_na_lebec_CA-11,0.89,0.84,0.96,,,0.07
na_na_lebec_CA-13,0.91,0.90,0.98,,,0.07
na_na_lebec_CA-26,0.89,0.96,0.96,,,0.07
nz_nz_EFD_DCAMA08,0.83,0.98,0.90,0.70,,0.07
nz_nz_EFD_DCAMF02,0.92,0.83,0.99,,,0.07
nz_nz_EFD_DCAMF07,0.86,0.88,0.93,,,0.07
nz_nz_EFH_HCAMA13,0.83,0.92,0.90,0.77,0.86,0.07
nz_nz_EFH_HCAMG15,0.84,0.96,0.91,0.77,,0.07
nz_nz_PS1_CAM6604,0.88,1.00,0.95,,,0.07
orinoquia_orinoquia_N07,0.76,0.98,0.83,0.74,,0.07
serengeti_serengeti_F02,0.82,0.83,0.89,0.76,,0.07
serengeti_serengeti_G02,0.75,0.83,0.82,0.68,,0.07
serengeti_serengeti_H03,0.80,0.89,0.87,0.79,0.83,0.07
serengeti_serengeti_I12,0.76,0.88,0.83,0.71,0.80,0.07
serengeti_serengeti_J06,0.85,0.90,0.92,,,0.07
serengeti_serengeti_L02,0.84,0.85,0.91,0.66,,0.07
serengeti_serengeti_L10,0.75,0.87,0.82,0.66,,0.07
serengeti_serengeti_M09,0.77,0.82,0.84,,,0.07
serengeti_serengeti_N08,0.78,0.82,0.85,,,0.07
serengeti_serengeti_O06,0.78,0.85,0.85,,0.84,0.07
serengeti_serengeti_R11,0.80,0.76,0.87,,,0.07
wellington_wellington_031c,0.88,0.92,0.95,,0.91,0.07
APN_APN_BOSP,0.87,0.97,0.95,,,0.08
ENO_ENO_C04,0.82,0.92,0.90,,0.82,0.08
na_na_lebec_CA-07,0.89,0.93,0.97,,,0.08
na_na_lebec_CA-17,0.87,0.78,0.95,,,0.08
na_na_lebec_CA-45,0.85,0.88,0.93,,,0.08
nz_nz_EFD_DCAMC09,0.80,0.89,0.88,0.78,0.88,0.08
nz_nz_EFD_DCAME02,0.80,0.97,0.88,0.64,0.70,0.08
